Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
221201,CANN (WB) @ WEERAGUA,1990/02/14 10:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,20.0,mg/L,65,Raw Data,
221201,CANN (WB) @ WEERAGUA,1990/05/15 09:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,21.0,mg/L,65,Raw Data,
221210,GENOA @ GORGE,1990/02/13 15:20:00,Quality,2113.00,Alkalinity Total (CaCO3),,26.0,mg/L,65,Raw Data,
221210,GENOA @ GORGE,1990/05/14 14:30:00,Quality,2113.00,Alkalinity Total (CaCO3),,25.0,mg/L,65,Raw Data,
221212,BEMM @ PRINCES HWY,1990/02/14 13:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,12.0,mg/L,65,Raw Data,
221212,BEMM @ PRINCES HWY,1990/05/15 14:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,12.0,mg/L,65,Raw Data,
222206,BUCHAN @ BUCHAN,1990/02/15 09:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,31.0,mg/L,65,Raw Data,
222206,BUCHAN @ BUCHAN,1990/05/16 09:30:00,Quality,2113.00,Alkalinity Total (CaCO3),,26.0,mg/L,65,Raw Data,
223202,TAMBO @ SWIFTS CREEK,1990/02/21 10:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,99.0,mg/L,65,Raw Data,
223202,TAMBO @ SWIFTS CREEK,1990/05/23 11:15:00,Quality,2113.00,Alkalinity Total (CaCO3),,68.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1978/10/11 10:25:00,Quality,2113.00,Alkalinity Total (CaCO3),,65.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/01/10 15:15:00,Quality,2113.00,Alkalinity Total (CaCO3),,64.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/04/03 15:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,75.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/07/11 14:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,91.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/10/10 13:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,83.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1980/01/10 10:10:00,Quality,2113.00,Alkalinity Total (CaCO3),,77.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1980/04/01 13:15:00,Quality,2113.00,Alkalinity Total (CaCO3),,78.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1980/07/07 12:10:00,Quality,2113.00,Alkalinity Total (CaCO3),,85.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1980/10/08 11:35:00,Quality,2113.00,Alkalinity Total (CaCO3),,64.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1981/01/14 13:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,89.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1981/04/08 14:45:00,Quality,2113.00,Alkalinity Total (CaCO3),,67.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1981/07/08 12:10:00,Quality,2113.00,Alkalinity Total (CaCO3),,46.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1981/10/21 13:30:00,Quality,2113.00,Alkalinity Total (CaCO3),,55.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1982/01/14 13:00:00,Quality,2113.00,Alkalinity Total (CaCO3),,52.0,mg/L,65,Raw Data,
