Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
100021,100021,2007/07/18 12:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100021,100021,2018/03/27 08:07:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100021,100021,2023/03/29 09:59:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100024,100024,1985/05/13 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100024,100024,1985/10/01 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.0,mg/L,43,Raw Data,
100024,100024,1986/04/17 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100024,100024,1986/11/03 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100024,100024,1987/04/03 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100024,100024,1987/09/08 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100024,100024,1988/03/24 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100024,100024,1989/05/11 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.8,mg/L,43,Raw Data,
100024,100024,1990/01/11 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.6,mg/L,43,Raw Data,
100024,100024,1990/05/10 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.6,mg/L,43,Raw Data,
100024,100024,1991/01/16 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100024,100024,1992/01/23 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.7,mg/L,43,Raw Data,
100024,100024,2023/03/29 13:35:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.2,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100501,100501,2021/11/09 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,GMW_SpringSampling_2021
100501,100501,2022/11/15 09:57:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100501,100501,2023/11/14 13:38:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,Spring Sampling 2023
100503,100503,2011/11/23 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
100503,100503,2020/10/27 13:34:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.3,mg/L,43,Raw Data,
100503,100503,2021/11/24 13:20:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.5,mg/L,43,Raw Data,GMW_SpringSampling_2021
100503,100503,2022/11/14 13:27:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,1.0,mg/L,43,Raw Data,
100503,100503,2023/11/14 12:29:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.5,mg/L,43,Raw Data,Spring Sampling 2023
100979,100979,2010/02/15 14:35:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
100979,100979,2014/10/15 09:40:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
102829,102829,2012/09/24 15:30:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
102829,102829,2014/03/04 12:55:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.0,mg/L,43,Raw Data,
102829,102829,2014/10/16 09:14:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
102829,102829,2015/11/17 11:06:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
102829,102829,2016/12/01 10:46:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,44,Raw Data,
102829,102829,2018/01/30 09:27:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2018/10/22 14:55:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2019/10/21 12:03:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2020/10/27 13:03:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,
102829,102829,2021/12/13 11:13:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,GMW_SpringSampling_2021
102829,102829,2022/11/24 07:43:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.2,mg/L,43,Raw Data,
102829,102829,2023/10/17 11:57:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,Spring Sampling 2023
102829,102829,2024/10/16 09:22:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,Spring Sampling 2024
105476,105476,2009/07/08 16:05:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
105476,105476,2014/03/26 07:50:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
105936,105936,2012/10/10 14:05:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
105936,105936,2014/03/25 13:17:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
105936,105936,2014/10/14 13:44:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.1,mg/L,43,Raw Data,
105936,105936,2016/12/09 13:48:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,44,Raw Data,
109476,109476,1983/05/10 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.2,mg/L,43,Raw Data,
109476,109476,1984/06/05 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.4,mg/L,43,Raw Data,
109515,109515,1985/10/29 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1986/05/02 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.0,mg/L,43,Raw Data,
109515,109515,1986/11/05 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1987/04/28 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1988/05/12 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.4,mg/L,43,Raw Data,
109515,109515,1988/12/14 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1989/05/15 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1990/01/31 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1990/11/29 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
109515,109515,1991/11/28 00:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.1,mg/L,43,Raw Data,
109603,109603,1988/01/13 02:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.0,mg/L,43,Raw Data,
109603,109603,1988/05/23 01:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),<,0.0,mg/L,43,Raw Data,
109603,109603,1988/12/14 01:00:00,Quality,2335.00,Nitrogen as Ammonia (Total),,0.0,mg/L,43,Raw Data,
