Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
100017,100017,1976/05/25 00:00:00,Quality,2311.00,Chloride as Cl,,91.0,mg/L,43,Raw Data,
100017,100017,1976/05/26 00:00:00,Quality,2311.00,Chloride as Cl,,94.0,mg/L,43,Raw Data,
100017,100017,1976/06/01 00:00:00,Quality,2311.00,Chloride as Cl,,91.0,mg/L,43,Raw Data,
100017,100017,1976/06/09 00:00:00,Quality,2311.00,Chloride as Cl,,121.0,mg/L,43,Raw Data,
100017,100017,1976/06/22 00:00:00,Quality,2311.00,Chloride as Cl,,82.0,mg/L,43,Raw Data,
100017,100017,1976/07/15 00:00:00,Quality,2311.00,Chloride as Cl,,108.0,mg/L,43,Raw Data,
100017,100017,1978/05/02 00:00:00,Quality,2311.00,Chloride as Cl,,123.0,mg/L,43,Raw Data,
100017,100017,1980/06/19 00:00:00,Quality,2311.00,Chloride as Cl,,159.0,mg/L,43,Raw Data,
100017,100017,1994/11/22 16:15:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100017,100017,1994/12/20 14:30:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100017,100017,1995/02/01 10:30:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100021,100021,1979/02/12 00:00:00,Quality,2311.00,Chloride as Cl,,157.0,mg/L,43,Raw Data,
100021,100021,1979/02/20 00:00:00,Quality,2311.00,Chloride as Cl,,209.0,mg/L,43,Raw Data,
100021,100021,1980/06/19 00:00:00,Quality,2311.00,Chloride as Cl,,124.0,mg/L,43,Raw Data,
100021,100021,1987/08/05 00:00:00,Quality,2311.00,Chloride as Cl,,130.0,mg/L,43,Raw Data,
100021,100021,1988/03/22 00:00:00,Quality,2311.00,Chloride as Cl,,130.0,mg/L,43,Raw Data,
100021,100021,2007/07/18 12:00:00,Quality,2311.00,Chloride as Cl,,160.0,mg/L,43,Raw Data,
100021,100021,2023/03/29 09:59:00,Quality,2311.00,Chloride as Cl,,150.0,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100022,100022,1979/03/26 00:00:00,Quality,2311.00,Chloride as Cl,,274.0,mg/L,43,Raw Data,
100022,100022,1979/04/18 00:00:00,Quality,2311.00,Chloride as Cl,,229.0,mg/L,43,Raw Data,
100022,100022,1979/04/20 00:00:00,Quality,2311.00,Chloride as Cl,,190.0,mg/L,43,Raw Data,
100022,100022,1980/06/19 00:00:00,Quality,2311.00,Chloride as Cl,,877.0,mg/L,43,Raw Data,
100022,100022,2008/06/16 10:51:00,Quality,2311.00,Chloride as Cl,,718.0,mg/L,43,Raw Data,
100022,100022,2023/03/28 13:56:00,Quality,2311.00,Chloride as Cl,,620.0,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100023,100023,1980/07/16 00:00:00,Quality,2311.00,Chloride as Cl,,7530.0,mg/L,43,Raw Data,
100023,100023,1980/07/17 00:00:00,Quality,2311.00,Chloride as Cl,,105.0,mg/L,43,Raw Data,
100023,100023,1980/07/22 00:00:00,Quality,2311.00,Chloride as Cl,,172.0,mg/L,43,Raw Data,
100023,100023,1980/07/24 00:00:00,Quality,2311.00,Chloride as Cl,,171.0,mg/L,43,Raw Data,
100023,100023,1987/08/04 00:00:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100023,100023,1988/03/22 00:00:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100024,100024,1980/12/02 00:00:00,Quality,2311.00,Chloride as Cl,,1610.0,mg/L,43,Raw Data,
100024,100024,1980/12/24 00:00:00,Quality,2311.00,Chloride as Cl,,748.0,mg/L,43,Raw Data,
100024,100024,1985/05/13 00:00:00,Quality,2311.00,Chloride as Cl,,240.0,mg/L,43,Raw Data,
100024,100024,1985/10/01 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1986/04/17 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1986/11/03 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1987/04/03 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1987/08/05 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1987/09/08 00:00:00,Quality,2311.00,Chloride as Cl,,270.0,mg/L,43,Raw Data,
100024,100024,1988/03/24 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1989/05/11 00:00:00,Quality,2311.00,Chloride as Cl,,260.0,mg/L,43,Raw Data,
100024,100024,1990/01/11 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1990/05/10 00:00:00,Quality,2311.00,Chloride as Cl,,260.0,mg/L,43,Raw Data,
100024,100024,1991/01/16 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,1992/01/23 00:00:00,Quality,2311.00,Chloride as Cl,,250.0,mg/L,43,Raw Data,
100024,100024,2023/03/29 13:35:00,Quality,2311.00,Chloride as Cl,,240.0,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100500,100500,1984/07/11 00:00:00,Quality,2311.00,Chloride as Cl,,2600.0,mg/L,43,Raw Data,
100500,100500,1984/08/08 00:00:00,Quality,2311.00,Chloride as Cl,,430.0,mg/L,43,Raw Data,
100501,100501,1984/08/08 00:00:00,Quality,2311.00,Chloride as Cl,,430.0,mg/L,43,Raw Data,
100501,100501,2021/11/09 00:00:00,Quality,2311.00,Chloride as Cl,,1900.0,mg/L,43,Raw Data,GMW_SpringSampling_2021
