Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
122382,122382,2004/04/27 23:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,43,Raw Data,
122382,122382,2004/04/28 04:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,43,Raw Data,
122382,122382,2004/04/28 23:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,43,Raw Data,
122382,122382,2004/04/29 23:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,43,Raw Data,
122382,122382,2004/05/01 02:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,43,Raw Data,
221001,GENOA R @ ROCKTON,1993/05/27 09:17:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/06/07 14:40:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/07/06 14:50:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/08/03 10:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/09/07 09:45:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/10/13 09:45:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/11/02 12:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1993/12/07 08:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/01/12 12:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/02/02 09:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/03/08 12:45:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/04/27 11:40:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/05/25 08:40:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/06/29 10:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/07/07 09:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/08/02 09:40:00,Quality,2054.00,Colour (True Filtered) (PCU),,25,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/09/13 15:15:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/10/04 10:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,5,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/11/01 12:20:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1994/12/06 12:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/01/04 11:25:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/02/07 13:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,15,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/03/07 12:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,15,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/04/04 14:45:00,Quality,2054.00,Colour (True Filtered) (PCU),,10,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/05/03 11:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,20,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/06/06 15:35:00,Quality,2054.00,Colour (True Filtered) (PCU),,13,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/07/04 14:50:00,Quality,2054.00,Colour (True Filtered) (PCU),,15,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/08/08 14:50:00,Quality,2054.00,Colour (True Filtered) (PCU),,13,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/09/05 14:00:00,Quality,2054.00,Colour (True Filtered) (PCU),,8,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/10/03 14:40:00,Quality,2054.00,Colour (True Filtered) (PCU),,25,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/11/07 09:25:00,Quality,2054.00,Colour (True Filtered) (PCU),,100,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1995/12/05 14:45:00,Quality,2054.00,Colour (True Filtered) (PCU),,30,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/01/18 08:50:00,Quality,2054.00,Colour (True Filtered) (PCU),,27,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/02/06 14:35:00,Quality,2054.00,Colour (True Filtered) (PCU),,18,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/03/05 12:20:00,Quality,2054.00,Colour (True Filtered) (PCU),,17,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/04/01 14:50:00,Quality,2054.00,Colour (True Filtered) (PCU),,15,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/05/07 10:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,18,Pt-Co,65,Raw Data,
221001,GENOA R @ ROCKTON,1996/06/04 14:30:00,Quality,2054.00,Colour (True Filtered) (PCU),,13,Pt-Co,65,Raw Data,
