Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
100024,100024,1985/05/13 00:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
100024,100024,1985/10/01 00:00:00,Quality,2641.00,Fluoride as F,,0.19,mg/L,43,Raw Data,
100024,100024,1986/04/17 00:00:00,Quality,2641.00,Fluoride as F,,0.18,mg/L,43,Raw Data,
100024,100024,1986/11/03 00:00:00,Quality,2641.00,Fluoride as F,,0.20,mg/L,43,Raw Data,
100024,100024,1987/04/03 00:00:00,Quality,2641.00,Fluoride as F,,0.28,mg/L,43,Raw Data,
100024,100024,1987/09/08 00:00:00,Quality,2641.00,Fluoride as F,,0.26,mg/L,43,Raw Data,
100024,100024,1988/03/24 00:00:00,Quality,2641.00,Fluoride as F,,0.26,mg/L,43,Raw Data,
100024,100024,1989/05/11 00:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
100024,100024,1990/01/11 00:00:00,Quality,2641.00,Fluoride as F,,0.25,mg/L,43,Raw Data,
100024,100024,1990/05/10 00:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
100024,100024,1991/01/16 00:00:00,Quality,2641.00,Fluoride as F,,0.21,mg/L,43,Raw Data,
100024,100024,1992/01/23 00:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
100515,100515,1993/03/04 00:00:00,Quality,2641.00,Fluoride as F,,0.07,mg/L,43,Raw Data,
100515,100515,2002/03/04 02:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
101241,101241,1993/03/05 00:00:00,Quality,2641.00,Fluoride as F,,0.09,mg/L,43,Raw Data,
101241,101241,2001/01/01 00:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
101241,101241,2008/09/08 11:35:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109476,109476,1983/05/10 00:00:00,Quality,2641.00,Fluoride as F,,0.47,mg/L,43,Raw Data,
109476,109476,1984/06/05 00:00:00,Quality,2641.00,Fluoride as F,,0.21,mg/L,43,Raw Data,
109515,109515,1985/10/29 00:00:00,Quality,2641.00,Fluoride as F,,0.14,mg/L,43,Raw Data,
109515,109515,1986/05/02 00:00:00,Quality,2641.00,Fluoride as F,,0.17,mg/L,43,Raw Data,
109515,109515,1986/11/05 00:00:00,Quality,2641.00,Fluoride as F,,0.18,mg/L,43,Raw Data,
109515,109515,1987/04/28 00:00:00,Quality,2641.00,Fluoride as F,,0.35,mg/L,43,Raw Data,
109515,109515,1988/05/12 00:00:00,Quality,2641.00,Fluoride as F,,0.19,mg/L,43,Raw Data,
109515,109515,1988/12/14 00:00:00,Quality,2641.00,Fluoride as F,,0.17,mg/L,43,Raw Data,
109515,109515,1989/05/15 00:00:00,Quality,2641.00,Fluoride as F,,0.19,mg/L,43,Raw Data,
109515,109515,1990/01/31 00:00:00,Quality,2641.00,Fluoride as F,,0.17,mg/L,43,Raw Data,
109515,109515,1990/11/29 00:00:00,Quality,2641.00,Fluoride as F,,0.14,mg/L,43,Raw Data,
109515,109515,1991/11/28 00:00:00,Quality,2641.00,Fluoride as F,,0.16,mg/L,43,Raw Data,
109515,109515,2008/04/10 10:15:00,Quality,2641.00,Fluoride as F,<,0.50,mg/L,43,Raw Data,
109603,109603,1988/01/13 02:00:00,Quality,2641.00,Fluoride as F,,0.18,mg/L,43,Raw Data,
109603,109603,1988/05/23 01:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
109603,109603,1988/12/14 01:00:00,Quality,2641.00,Fluoride as F,,0.17,mg/L,43,Raw Data,
109603,109603,1989/05/10 01:00:00,Quality,2641.00,Fluoride as F,,0.25,mg/L,43,Raw Data,
109603,109603,1990/02/02 01:00:00,Quality,2641.00,Fluoride as F,,0.23,mg/L,43,Raw Data,
109603,109603,1991/01/18 01:00:00,Quality,2641.00,Fluoride as F,,0.26,mg/L,43,Raw Data,
109603,109603,1991/11/20 01:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109603,109603,1991/11/20 03:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109603,109603,1992/12/08 00:00:00,Quality,2641.00,Fluoride as F,,0.28,mg/L,43,Raw Data,
109603,109603,1992/12/08 02:00:00,Quality,2641.00,Fluoride as F,,0.28,mg/L,43,Raw Data,
109603,109603,1992/12/08 04:00:00,Quality,2641.00,Fluoride as F,,0.28,mg/L,43,Raw Data,
109603,109603,2008/04/08 13:16:00,Quality,2641.00,Fluoride as F,<,0.50,mg/L,43,Raw Data,
109604,109604,1988/01/13 00:00:00,Quality,2641.00,Fluoride as F,,0.18,mg/L,43,Raw Data,
109604,109604,1988/01/13 01:00:00,Quality,2641.00,Fluoride as F,,0.15,mg/L,43,Raw Data,
109604,109604,1988/01/13 04:00:00,Quality,2641.00,Fluoride as F,,0.15,mg/L,43,Raw Data,
109604,109604,1988/05/23 00:00:00,Quality,2641.00,Fluoride as F,,0.24,mg/L,43,Raw Data,
109604,109604,1988/05/23 01:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109604,109604,1988/05/23 03:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109604,109604,1988/12/14 00:00:00,Quality,2641.00,Fluoride as F,,0.17,mg/L,43,Raw Data,
109604,109604,1988/12/14 01:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1988/12/14 03:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1989/05/10 00:00:00,Quality,2641.00,Fluoride as F,,0.25,mg/L,43,Raw Data,
109604,109604,1989/05/10 01:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1989/05/10 03:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1990/02/02 00:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1990/02/02 01:00:00,Quality,2641.00,Fluoride as F,,0.23,mg/L,43,Raw Data,
109604,109604,1990/02/02 03:00:00,Quality,2641.00,Fluoride as F,,0.10,mg/L,43,Raw Data,
109604,109604,1991/01/18 00:00:00,Quality,2641.00,Fluoride as F,,0.26,mg/L,43,Raw Data,
109604,109604,1991/01/18 01:00:00,Quality,2641.00,Fluoride as F,,0.12,mg/L,43,Raw Data,
109604,109604,1991/01/18 03:00:00,Quality,2641.00,Fluoride as F,,0.12,mg/L,43,Raw Data,
109604,109604,1991/11/20 00:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109604,109604,1991/11/20 01:00:00,Quality,2641.00,Fluoride as F,,0.27,mg/L,43,Raw Data,
109604,109604,1991/11/20 03:00:00,Quality,2641.00,Fluoride as F,,0.27,mg/L,43,Raw Data,
109604,109604,1991/11/20 05:00:00,Quality,2641.00,Fluoride as F,,0.27,mg/L,43,Raw Data,
109604,109604,1992/12/08 00:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109604,109604,1992/12/08 02:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109604,109604,1992/12/08 04:00:00,Quality,2641.00,Fluoride as F,,0.11,mg/L,43,Raw Data,
109606,109606,1987/01/12 00:00:00,Quality,2641.00,Fluoride as F,,0.32,mg/L,43,Raw Data,
109606,109606,1987/01/12 01:00:00,Quality,2641.00,Fluoride as F,,0.16,mg/L,43,Raw Data,
109606,109606,1987/01/12 03:00:00,Quality,2641.00,Fluoride as F,,0.32,mg/L,43,Raw Data,
109606,109606,1988/05/23 00:00:00,Quality,2641.00,Fluoride as F,,0.15,mg/L,43,Raw Data,
109606,109606,1988/05/23 01:00:00,Quality,2641.00,Fluoride as F,,0.14,mg/L,43,Raw Data,
