Site ID,Latitude,Longitude,Location method,Zone,RWC,CMA,Total depth (m),Suburb
WRK017733,-37.2369779,145.7117874,GLOBAL POSIT,55,Goulburn-Murray Water,Goulburn Broken CMA,30,Acheron
WRK016265,-37.40357568,143.6686438,GLOBAL POSIT,54,Goulburn-Murray Water,North Central CMA,108,Addington
WRK016266,-37.403624,143.668637,GLOBAL POSIT,54,Goulburn-Murray Water,North Central CMA,27,Addington
WRK985188,-37.72412361,144.6536654,GLOBAL POSIT,55,Southern Rural Water,Melbourne Water CMA,31.4,Aintree
WRK985191,-37.72414983,144.6536546,GLOBAL POSIT,55,Southern Rural Water,Melbourne Water CMA,65,Aintree
116460,-38.41139078,144.0929492,TRANSLATION,55,Southern Rural Water,Corangamite CMA,304,Aireys Inlet
86669,-38.00777835,147.0954264,GLOBAL POSIT,55,Southern Rural Water,West Gippsland CMA,191.85,Airly
86747,-38.02563868,147.1146615,TRANSLATION,55,,(Not set),17.4,Airly
115218,-38.02114278,147.1037166,TRANSLATION,55,,(Not set),14.3,Airly
126437,-38.05896617,147.0855316,TRANSLATION,55,,(Not set),16.5,Airly
131259,-38.03628283,147.1056749,TRANSLATION,55,Southern Rural Water,(Not set),14,Airly
135289,-38.03423315,147.0757033,TRANSLATION,55,Southern Rural Water,(Not set),10,Airly
143748,-38.02185669,147.1119205,TRANSLATION,55,Southern Rural Water,(Not set),10,Airly
143749,-38.0079008,147.0953825,TRANSLATION,55,Southern Rural Water,(Not set),9,Airly
WRK955744,-35.80188288,141.9879924,NOT KNOWN,54,,Wimmera CMA,10,Albacutya
119136,-38.60163239,146.6677601,Not known,55,,(Not set),11,Alberton
WRK957525,-38.60007779,146.6697987,NOT KNOWN,55,,West Gippsland CMA,10.5,Alberton
WRK957607,-38.62637431,146.6391884,NOT KNOWN,55,,West Gippsland CMA,5.76,Alberton
WRK957608,-38.62637431,146.6391884,NOT KNOWN,55,,West Gippsland CMA,9.47,Alberton
WRK957609,-38.62674276,146.6388534,NOT KNOWN,55,,West Gippsland CMA,23.2,Alberton
WRK957601,-38.60767335,146.6079848,NOT KNOWN,55,,West Gippsland CMA,5.28,Alberton West
WRK957602,-38.60767335,146.6079848,NOT KNOWN,55,,West Gippsland CMA,9.83,Alberton West
WRK957603,-38.60767335,146.6079848,NOT KNOWN,55,,West Gippsland CMA,19.37,Alberton West
77225,-37.78208902,144.81465,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,20,Albion
109588,-37.77062582,144.8174639,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,54.86,Albion
109605,-37.76921765,144.8064313,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,47,Albion
109606,-37.76921765,144.8064313,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,47,Albion
109607,-37.77034983,144.8056361,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,33,Albion
109608,-37.77034983,144.8056361,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,33,Albion
126149,-37.78209716,144.8146661,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,32,Albion
WRK017723,-37.19475573,145.7340816,GLOBAL POSIT,55,Goulburn-Murray Water,Goulburn Broken CMA,43,Alexandra
78550,-38.38939244,142.6313027,GLOBAL POSIT,54,Southern Rural Water,Glenelg Hopkins CMA,48.8,Allansford
141230,-38.42967558,142.6046558,GLOBAL POSIT,54,Southern Rural Water,Glenelg Hopkins CMA,20,Allansford
141911,-38.40837676,142.5663609,GLOBAL POSIT,54,Southern Rural Water,Glenelg Hopkins CMA,14,Allansford
141912,-38.408378,142.5663428,GLOBAL POSIT,54,Southern Rural Water,Glenelg Hopkins CMA,52,Allansford
91875,-37.35733298,143.924955,GLOBAL POSIT,54,Goulburn-Murray Water,North Central CMA,81,Allendale
96883,-37.85409607,144.8127623,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,41.15,Altona
109737,-37.8556465,144.802917,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,41.15,Altona
109738,-37.85564821,144.8029168,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,41.15,Altona
110870,-37.85551867,144.8387024,GPS - SKM VA,55,Southern Rural Water,Melbourne Water CMA,14.9,Altona
142670,-38.2418175,143.4950671,GPS - SKM VA,54,Southern Rural Water,Corangamite CMA,19,Alvie
142671,-38.21588223,143.4759077,GPS - SKM VA,54,Southern Rural Water,Corangamite CMA,19,Alvie
116788,-37.25064798,143.4638663,TRANSLATION,54,Grampians Wimmera Mallee Water,(Not set),53,Amphitheatre
116789,-37.23423673,143.4649841,TRANSLATION,54,Grampians Wimmera Mallee Water,(Not set),53,Amphitheatre
117792,-37.20707404,143.3463981,TRANSLATION,54,,(Not set),17.3,Amphitheatre
117793,-37.20707404,143.3463981,TRANSLATION,54,,(Not set),5.4,Amphitheatre
WRK956206,-37.20858554,143.3568835,NOT KNOWN,54,,North Central CMA,4,Amphitheatre
WRK956207,-37.20858554,143.3568835,NOT KNOWN,54,,North Central CMA,13,Amphitheatre
WRK956208,-37.20815763,143.3557435,NOT KNOWN,54,,North Central CMA,19,Amphitheatre
WRK956319,-37.18818503,143.3855472,NOT KNOWN,54,,North Central CMA,7,Amphitheatre
WRK956320,-37.18337479,143.4006014,NOT KNOWN,54,,North Central CMA,10,Amphitheatre
WRK956322,-37.18419525,143.4045809,NOT KNOWN,54,,North Central CMA,10,Amphitheatre
WRK956323,-37.19699811,143.3954003,NOT KNOWN,54,,North Central CMA,17.5,Amphitheatre
WRK957943,-37.18790236,143.4688019,NOT KNOWN,54,,North Central CMA,16,Amphitheatre
WRK957967,-37.20951586,143.3882583,NOT KNOWN,54,,North Central CMA,5.2,Amphitheatre
