Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
100017,100017,1976/05/25 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,21.445,mg/L,43,Raw Data,
100017,100017,1976/05/26 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,29.571,mg/L,43,Raw Data,
100017,100017,1976/06/01 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,21.445,mg/L,43,Raw Data,
100017,100017,1976/06/09 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,3.837,mg/L,43,Raw Data,
100017,100017,1976/06/22 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,16.479,mg/L,43,Raw Data,
100017,100017,1980/06/19 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
100021,100021,1979/02/12 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
100021,100021,1979/02/20 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
100021,100021,1980/06/19 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
100021,100021,2007/07/18 12:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.000,mg/L,43,Raw Data,
100021,100021,2023/03/29 09:59:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.120,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100022,100022,1979/04/18 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.129,mg/L,43,Raw Data,
100022,100022,1979/04/20 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.483,mg/L,43,Raw Data,
100022,100022,1980/06/19 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
100022,100022,2008/06/16 10:51:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.602,mg/L,43,Raw Data,
100022,100022,2023/03/28 13:56:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100023,100023,1980/07/16 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.451,mg/L,43,Raw Data,
100023,100023,1980/07/17 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.257,mg/L,43,Raw Data,
100023,100023,1980/07/22 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,5.192,mg/L,43,Raw Data,
100023,100023,1980/07/24 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,7.449,mg/L,43,Raw Data,
100024,100024,1980/12/02 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.580,mg/L,43,Raw Data,
100024,100024,1980/12/24 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.354,mg/L,43,Raw Data,
100024,100024,2023/03/29 13:35:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
100501,100501,2021/11/09 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,GMW_SpringSampling_2021
100501,100501,2022/11/15 09:57:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,
100501,100501,2023/11/14 13:38:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,Spring Sampling 2023
100503,100503,2011/11/23 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
100503,100503,2020/10/27 13:34:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,
100503,100503,2021/11/24 13:20:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.050,mg/L,43,Raw Data,GMW_SpringSampling_2021
100503,100503,2022/11/14 13:27:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
100503,100503,2023/11/14 12:29:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,Spring Sampling 2023
100533,100533,1978/05/06 01:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.451,mg/L,43,Raw Data,
100533,100533,2008/06/10 15:05:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
100979,100979,2010/02/15 14:35:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.020,mg/L,43,Raw Data,
100979,100979,2014/10/15 09:40:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.310,mg/L,43,Raw Data,
102621,102621,2008/06/10 16:40:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
102621,102621,2014/11/10 14:18:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,3.660,mg/L,43,Raw Data,
102829,102829,2012/09/24 15:30:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
102829,102829,2014/03/04 12:55:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
102829,102829,2014/10/16 09:14:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
102829,102829,2015/11/17 11:06:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
102829,102829,2016/12/01 10:46:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,44,Raw Data,
102829,102829,2018/01/30 09:27:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2018/10/22 14:55:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2019/10/21 12:03:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2020/10/27 13:03:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,
102829,102829,2021/12/13 11:13:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.040,mg/L,43,Raw Data,GMW_SpringSampling_2021
102829,102829,2022/11/24 07:43:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
102829,102829,2023/10/17 11:57:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,Spring Sampling 2023
