Site ID,Name,Latitude,Longitude,Active,Elevation (m),Basin,Water Body,Location
221001,GENOA RIVER @ ROCKTON,"37°08'19.2""S","149°19'02.3""E",FALSE,429,East Gippsland,GENOA RIVER,ROCKTON
221200,BEMM RIVER @ CLUB TERRACE,"37°32'29.0""S","148°56'04.0""E",FALSE,91.202,East Gippsland,BEMM RIVER,CLUB TERRACE
221201,CANN RIVER @ WEERAGUA (WEST BRANCH),"37°22'22.6""S","149°11'55.2""E",TRUE,152.951,East Gippsland,CANN RIVER,WEERAGUA (WEST BRANCH)
221202,GENOA RIVER @ WANGARABELL,"37°22'55.5""S","149°29'11.8""E",TRUE,106.457,East Gippsland,GENOA RIVER,WANGARABELL
221203,BETKA RIVER @ MALLACOOTA,"37°35'29.0""S","149°41'40.0""E",FALSE,9.732,East Gippsland,BETKA RIVER,MALLACOOTA
221204,THURRA RIVER @ POINT HICKS,"37°43'32.5""S","149°15'37.1""E",FALSE,9.04,East Gippsland,THURRA RIVER,POINT HICKS
221205,BEMM RIVER @ BEMM RIVER,"37°44'18.0""S","148°57'03.0""E",FALSE,27.004,East Gippsland,BEMM RIVER,BEMM RIVER
221206,CANN RIVER @ NOORINBEE,"37°26'02.0""S","149°11'50.0""E",FALSE,130.605,East Gippsland,CANN RIVER,NOORINBEE
221207,ERRINUNDRA RIVER @ ERRINUNDRA,"37°26'49.3""S","148°54'54.9""E",TRUE,139.789,East Gippsland,ERRINUNDRA RIVER,ERRINUNDRA
221208,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,"37°41'19.6""S","149°29'30.4""E",TRUE,36.163,East Gippsland,WINGAN RIVER,WINGAN INLET NATIONAL PARK
221209,CANN RIVER @ WEERAGUA (EAST BRANCH),"37°21'19.6""S","149°12'25.4""E",TRUE,178.46,East Gippsland,CANN RIVER,WEERAGUA (EAST BRANCH)
221210,GENOA RIVER @ THE GORGE,"37°24'56.8""S","149°31'13.4""E",TRUE,86.605,East Gippsland,GENOA RIVER,THE GORGE
221211,COMBIENBAR RIVER @ COMBIENBAR,"37°26'24.7""S","148°58'59.3""E",TRUE,164.4,East Gippsland,COMBIENBAR RIVER,COMBIENBAR
221212,BEMM RIVER @ PRINCES HIGHWAY,"37°36'25.7""S","148°54'05.9""E",TRUE,58.468,East Gippsland,BEMM RIVER,PRINCES HIGHWAY
221213,GOOLENGOOK RIVER @ D/S OF ARTE RIVER JUNCTION,"37°30'36.8""S","148°51'07.8""E",FALSE,153.094,East Gippsland,GOOLENGOOK RIVER,ARTE RIVER JUNCTION
221214,CANN RIVER @ D/S OF CANN RIVER,"37°36'03.9""S","149°08'13.5""E",FALSE,81.198,East Gippsland,CANN RIVER,CANN RIVER
221216,GENOA RIVER @ D/S OF BIG FLAT CREEK JUNCTION,"37°23'46.0""S","149°30'41.0""E",FALSE,101.945,East Gippsland,GENOA RIVER,BIG FLAT CREEK JUNCTION
221217,GENOA RIVER @ GIPSY POINT (WOOD'S JETTY),"37°28'44.5""S","149°40'44.9""E",FALSE,21.117,East Gippsland,GENOA RIVER,GIPSY POINT (WOOD'S JETTY)
221218,BETKA RIVER @ MINERS TRACK,"37°35'43.2""S","149°38'08.2""E",TRUE,31.319,East Gippsland,BETKA RIVER,MINERS TRACK
