Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
226237,TRARALGON CK MATTINL,2004/02/09 09:40:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2004/05/03 12:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2004/08/16 10:00:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2004/11/08 09:10:00,Quality,2751.00,Total Selenium,,0.002,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2005/02/07 09:10:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2005/05/02 10:10:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2005/08/01 10:55:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2005/11/07 09:47:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2006/02/06 09:10:00,Quality,2751.00,Total Selenium,,0.002,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2006/05/01 09:50:00,Quality,2751.00,Total Selenium,,0.004,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2006/08/07 09:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2006/11/06 10:10:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2007/02/05 09:05:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226237,TRARALGON CK MATTINL,2007/05/01 11:30:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2004/02/09 11:00:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
