Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
221201,CANN (WB) @ WEERAGUA,1990/02/14 10:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,69.0,mg/L,65,Raw Data,
221201,CANN (WB) @ WEERAGUA,1990/05/15 09:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,63.0,mg/L,65,Raw Data,
221210,GENOA @ GORGE,1990/02/13 15:20:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,88.0,mg/L,65,Raw Data,
221210,GENOA @ GORGE,1990/05/14 14:30:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,89.0,mg/L,65,Raw Data,
221212,BEMM @ PRINCES HWY,1990/02/14 13:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,49.0,mg/L,65,Raw Data,
221212,BEMM @ PRINCES HWY,1990/05/15 14:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,52.0,mg/L,65,Raw Data,
222206,BUCHAN @ BUCHAN,1990/02/15 09:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,76.0,mg/L,65,Raw Data,
222206,BUCHAN @ BUCHAN,1990/05/16 09:30:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,52.0,mg/L,65,Raw Data,
223202,TAMBO @ SWIFTS CREEK,1990/02/21 10:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,200.0,mg/L,65,Raw Data,
223202,TAMBO @ SWIFTS CREEK,1990/05/23 11:15:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,130.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1978/10/11 10:25:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,160.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/01/10 15:15:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,140.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/04/03 15:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,170.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/07/11 14:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,200.0,mg/L,65,Raw Data,
223205,TAMBO @ DS RAMROD,1979/10/10 13:00:00,Quality,2169.00,Total Dissolved Solids (TDS) (lab),,180.0,mg/L,65,Raw Data,
