Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
222200,SNOWY R @ JARRAHMOND,2002/12/04 13:30:00,Quality,2821.00,Total Zinc,,0.008,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/01/08 11:40:00,Quality,2821.00,Total Zinc,,0.004,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/02/12 08:15:00,Quality,2821.00,Total Zinc,,0.004,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/03/05 11:45:00,Quality,2821.00,Total Zinc,LT,0.002,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/04/02 12:30:00,Quality,2821.00,Total Zinc,,0.003,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/05/07 12:40:00,Quality,2821.00,Total Zinc,,0.004,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/06/04 12:25:00,Quality,2821.00,Total Zinc,,0.003,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/07/02 12:30:00,Quality,2821.00,Total Zinc,,0.004,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/08/06 12:33:00,Quality,2821.00,Total Zinc,,0.005,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/09/03 12:45:00,Quality,2821.00,Total Zinc,,0.003,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/10/08 12:25:00,Quality,2821.00,Total Zinc,,0.003,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/11/12 11:20:00,Quality,2821.00,Total Zinc,LT,0.002,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2003/12/03 11:00:00,Quality,2821.00,Total Zinc,,0.007,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2004/01/07 11:20:00,Quality,2821.00,Total Zinc,,0.004,mg/L,65,Raw Data,
222200,SNOWY R @ JARRAHMOND,2004/02/04 11:00:00,Quality,2821.00,Total Zinc,,0.008,mg/L,65,Raw Data,
